Anio,Casos_Nuevos,Tasa_Incidencia_x100k,Pacientes_Existentes,Prevalencia_Porcentaje,Defunciones,Tasa_Mortalidad_x100k,Egresos_Hospitalarios,Tasa_Egresos_x100k,Promedio_Dias_Estancia_Anual
2024,467,177.66043650446434,26733.0,10.170013809579968,84,31.95605281879016,145,55.1622340324354,8.934941520467836
2025,512,192.53404129704768,,,64,24.06675516213096,152,57.15854351006103,9.16875
