Anio,Nombre_OOAD,Egresos_Hospitalarios,Promedio_Dias_Estancia
2023,Jalisco,4712.0,6.439897166603241
2023,Nacional,53006.0,5.859082435844567
2024,Jalisco,3346.0,6.494948026879837
2024,Nacional,41969.0,5.99143370296393
