Anio,Mes,Nombre_OOAD,Casos_Nuevos,Poblacion_OOAD,Tasa_Incidencia_x100k
2025,1,Jalisco               ,770,4877453,15.786928136467948
2025,2,Jalisco               ,956,4877453,19.600393894108254
2025,3,Jalisco               ,1332,4877453,27.309335425682214
2025,4,Jalisco               ,1052,4877453,21.568634285148416
2025,5,Jalisco               ,1187,4877453,24.33647233504864
2025,6,Jalisco               ,1016,4877453,20.830544138508355
2025,7,Jalisco               ,952,4877453,19.51838387781492
2025,8,Jalisco               ,1196,4877453,24.52099487170866
2025,9,Jalisco               ,823,4877453,16.873560852354704
2025,10,Jalisco               ,901,4877453,18.47275617007483
2025,11,Jalisco               ,915,4877453,18.759791227101523
2025,12,Jalisco               ,874,4877453,17.91918856009479
