Anio,Casos_Nuevos,Poblacion_Incidencia,Pacientes_Existentes,Poblacion_Referencia,Defunciones,Poblacion_Mortalidad,Egresos_Hospitalarios,Promedio_Dias_Estancia,Poblacion_Hosp,Tasa_Incidencia_100k,Prevalencia_%,Tasa_Mortalidad_100k,Tasa_Egresos_100k
2024,132655,55714083,5439081.0,55714083.0,27726,55714083,41969,5.99143370296393,55714083,238.0995842648976,9.762488597362358,49.76479645191325,75.32924844154753
2025,142073,56652796,,,26157,56652796,38295,5.93364844473999,56652796,250.77844348582548,,46.1707132689444,67.59595766464908
